Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.10     0.00    29084     0.00     0.00  std::_Vector_base<Class, std::allocator<Class> >::_Vector_base()
  0.00      0.10     0.00    29084     0.00     0.00  std::vector<Class, std::allocator<Class> >::vector()
  0.00      0.10     0.00    25542     0.00     0.00  __gnu_cxx::__normal_iterator<MethodArgument const*, std::vector<MethodArgument, std::allocator<MethodArgument> > >::base() const
  0.00      0.10     0.00    23611     0.00     0.00  MethodArgument* std::__addressof<MethodArgument>(MethodArgument&)
  0.00      0.10     0.00    22751     0.00     0.00  std::vector<MethodArgument, std::allocator<MethodArgument> >::size() const
  0.00      0.10     0.00    22466     0.00     0.00  _ZN9__gnu_cxx13new_allocatorI5TokenE9constructIS1_IS1_EEEvPT_DpOT0_
  0.00      0.10     0.00    22466     0.00     0.00  _ZNSt16allocator_traitsISaI5TokenEE12_S_constructIS0_IS0_EEENSt9enable_ifIXsrNS2_18__construct_helperIT_IDpT0_EEE5valueEvE4typeERS1_PS6_DpOS7_
  0.00      0.10     0.00    22466     0.00     0.00  _ZNSt16allocator_traitsISaI5TokenEE9constructIS0_IS0_EEEvRS1_PT_DpOT0_
  0.00      0.10     0.00    22466     0.00     0.00  void std::vector<Token, std::allocator<Token> >::emplace_back<Token>(Token&&)
  0.00      0.10     0.00    22466     0.00     0.00  std::vector<Token, std::allocator<Token> >::push_back(Token&&)
  0.00      0.10     0.00    19689     0.00     0.00  std::vector<Token, std::allocator<Token> >::size() const
  0.00      0.10     0.00    17669     0.00     0.00  __gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > >::base() const
  0.00      0.10     0.00    17585     0.00     0.00  __gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > >::__normal_iterator(Class* const&)
  0.00      0.10     0.00    15597     0.00     0.00  MethodArgument::~MethodArgument()
  0.00      0.10     0.00    15291     0.00     0.00  std::_Vector_base<MethodArgument, std::allocator<MethodArgument> >::_M_get_Tp_allocator()
  0.00      0.10     0.00    13613     0.00     0.00  string_kill_whitespace(std::string)
  0.00      0.10     0.00    13045     0.00     0.00  MethodArgument::MethodArgument(MethodArgument const&)
  0.00      0.10     0.00    13045     0.00     0.00  void std::_Destroy<MethodArgument>(MethodArgument*)
  0.00      0.10     0.00    12587     0.00     0.00  bool __gnu_cxx::operator!=<MethodArgument const*, std::vector<MethodArgument, std::allocator<MethodArgument> > >(__gnu_cxx::__normal_iterator<MethodArgument const*, std::vector<MethodArgument, std::allocator<MethodArgument> > > const&, __gnu_cxx::__normal_iterator<MethodArgument const*, std::vector<MethodArgument, std::allocator<MethodArgument> > > const&)
  0.00      0.10     0.00    12225     0.00     0.00  Token::Token(Token const&)
  0.00      0.10     0.00    12130     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.10     0.00    12040     0.00     0.00  MethodArgument&& std::forward<MethodArgument>(std::remove_reference<MethodArgument>::type&)
  0.00      0.10     0.00    11662     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > >, false>::_S_base(__gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > >)
  0.00      0.10     0.00    11662     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > >, true>::_S_base(__gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > >)
  0.00      0.10     0.00    11662     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > > >(__gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > >)
  0.00      0.10     0.00    11662     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > > >(__gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > >)
  0.00      0.10     0.00    11461     0.00     0.00  Variable::~Variable()
  0.00      0.10     0.00    10955     0.00     0.00  Variable* std::__addressof<Variable>(Variable&)
  0.00      0.10     0.00    10803     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.10     0.00    10660     0.00     0.00  Variable&& std::forward<Variable>(std::remove_reference<Variable>::type&)
  0.00      0.10     0.00    10077     0.00     0.00  __gnu_cxx::new_allocator<MethodArgument>::max_size() const
  0.00      0.10     0.00     9788     0.00     0.00  advance_index(unsigned int&, unsigned int)
  0.00      0.10     0.00     9288     0.00     0.00  token_name(Token)
  0.00      0.10     0.00     8781     0.00     0.00  void std::_Destroy_aux<false>::__destroy<MethodArgument*>(MethodArgument*, MethodArgument*)
  0.00      0.10     0.00     8781     0.00     0.00  std::_Vector_base<MethodArgument, std::allocator<MethodArgument> >::_M_deallocate(MethodArgument*, unsigned int)
  0.00      0.10     0.00     8781     0.00     0.00  void std::_Destroy<MethodArgument*>(MethodArgument*, MethodArgument*)
  0.00      0.10     0.00     8781     0.00     0.00  void std::_Destroy<MethodArgument*, MethodArgument>(MethodArgument*, MethodArgument*, std::allocator<MethodArgument>&)
  0.00      0.10     0.00     8634     0.00     0.00  __gnu_cxx::__normal_iterator<MethodArgument const*, std::vector<MethodArgument, std::allocator<MethodArgument> > >::__normal_iterator(MethodArgument const* const&)
  0.00      0.10     0.00     8527     0.00     0.00  _ZSt10_ConstructI14MethodArgumentIRKS0_EEvPT_DpOT0_
  0.00      0.10     0.00     8527     0.00     0.00  MethodArgument const& std::forward<MethodArgument const&>(std::remove_reference<MethodArgument const&>::type&)
  0.00      0.10     0.00     8499     0.00     0.00  __gnu_cxx::new_allocator<MethodArgument>::~new_allocator()
  0.00      0.10     0.00     8454     0.00     0.00  __gnu_cxx::__normal_iterator<MethodArgument const*, std::vector<MethodArgument, std::allocator<MethodArgument> > >::operator++()
  0.00      0.10     0.00     8454     0.00     0.00  __gnu_cxx::__normal_iterator<MethodArgument const*, std::vector<MethodArgument, std::allocator<MethodArgument> > >::operator*() const
  0.00      0.10     0.00     7903     0.00     0.00  Variable::Variable(Variable const&)
  0.00      0.10     0.00     7244     0.00     0.00  Class::Class()
  0.00      0.10     0.00     7201     0.00     0.00  std::_Vector_base<MethodArgument, std::allocator<MethodArgument> >::_M_get_Tp_allocator() const
  0.00      0.10     0.00     6835     0.00     0.00  index_increase(TokenContext)
  0.00      0.10     0.00     6806     0.00     0.00  void std::_Destroy<Variable>(Variable*)
  0.00      0.10     0.00     6751     0.00     0.00  to_string(double)
  0.00      0.10     0.00     6734     0.00     0.00  Class::Class(std::string)
  0.00      0.10     0.00     6333     0.00     0.00  LoggingContext::log_assembler(std::string)
  0.00      0.10     0.00     6326     0.00     0.00  std::_Vector_base<MethodArgument, std::allocator<MethodArgument> >::_M_allocate(unsigned int)
  0.00      0.10     0.00     6308     0.00     0.00  assemble_token(Configuration*, TokenContext, bool&, std::string&, std::basic_ofstream<char, std::char_traits<char> >&, std::basic_ofstream<char, std::char_traits<char> >&, unsigned int&, Environment&)
  0.00      0.10     0.00     5975     0.00     0.00  __gnu_cxx::new_allocator<MethodArgument>::new_allocator(__gnu_cxx::new_allocator<MethodArgument> const&)
  0.00      0.10     0.00     5919     0.00     0.00  bool __gnu_cxx::operator!=<Class*, std::vector<Class, std::allocator<Class> > >(__gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > > const&, __gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > > const&)
  0.00      0.10     0.00     5880     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Class> >::_S_propagate_on_copy_assign()
  0.00      0.10     0.00     5880     0.00     0.00  std::vector<Class, std::allocator<Class> >::capacity() const
  0.00      0.10     0.00     5880     0.00     0.00  std::vector<Class, std::allocator<Class> >::operator=(std::vector<Class, std::allocator<Class> > const&)
  0.00      0.10     0.00     5877     0.00     0.00  std::vector<Class, std::allocator<Class> >::end()
  0.00      0.10     0.00     5877     0.00     0.00  std::vector<Class, std::allocator<Class> >::begin()
  0.00      0.10     0.00     5865     0.00     0.00  Class::operator=(Class const&)
  0.00      0.10     0.00     5848     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.10     0.00     5831     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > >, true>::_S_base(__gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > >)
  0.00      0.10     0.00     5831     0.00     0.00  Class* std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<Class const*, Class*>(Class const*, Class const*, Class*)
  0.00      0.10     0.00     5831     0.00     0.00  void std::_Destroy_aux<false>::__destroy<__gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > > >(__gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > >, __gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > >)
  0.00      0.10     0.00     5831     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > > >(__gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > >)
  0.00      0.10     0.00     5831     0.00     0.00  Class* std::__copy_move_a<false, Class const*, Class*>(Class const*, Class const*, Class*)
  0.00      0.10     0.00     5831     0.00     0.00  __gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > > std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > >, __gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > > >(__gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > >, __gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > >, __gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > >)
  0.00      0.10     0.00     5831     0.00     0.00  __gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > > std::copy<__gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > >, __gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > > >(__gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > >, __gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > >, __gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > >)
  0.00      0.10     0.00     5831     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > > >(__gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > >, __gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > >)
  0.00      0.10     0.00     5831     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > >, Class>(__gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > >, __gnu_cxx::__normal_iterator<Class*, std::vector<Class, std::allocator<Class> > >, std::allocator<Class>&)
  0.00      0.10     0.00     5829     0.00     0.00  __gnu_cxx::new_allocator<MethodArgument>::deallocate(MethodArgument*, unsigned int)
  0.00      0.10     0.00     5829     0.00     0.00  __gnu_cxx::new_allocator<MethodArgument>::allocate(unsigned int, void const*)
  0.00      0.10     0.00     5767     0.00     0.00  filename_name(std::string)
  0.00      0.10     0.00     5766     0.00     0.00  getLineString(std::vector<Token, std::allocator<Token> > const&, unsigned int)
  0.00      0.10     0.00     5477     0.00     0.00  std::allocator<MethodArgument>::~allocator()
  0.00      0.10     0.00     5477     0.00     0.00  std::_Vector_base<MethodArgument, std::allocator<MethodArgument> >::_Vector_impl::~_Vector_impl()
  0.00      0.10     0.00     5477     0.00     0.00  std::_Vector_base<MethodArgument, std::allocator<MethodArgument> >::~_Vector_base()
  0.00      0.10     0.00     5477     0.00     0.00  std::vector<MethodArgument, std::allocator<MethodArgument> >::~vector()
  0.00      0.10     0.00     5187     0.00     0.00  string_itertest_until_or(std::string&, unsigned int, std::string)
  0.00      0.10     0.00     4741     0.00     0.00  string_get_until(std::string, std::string)
  0.00      0.10     0.00     4431     0.00     0.00  environment_class_exists(Scope*, Class)
  0.00      0.10     0.00     4405     0.00     0.00  Scope*&& std::forward<Scope*>(std::remove_reference<Scope*>::type&)
  0.00      0.10     0.00     4317     0.00     0.00  std::vector<MethodArgument, std::allocator<MethodArgument> >::end() const
  0.00      0.10     0.00     4317     0.00     0.00  std::vector<MethodArgument, std::allocator<MethodArgument> >::begin() const
  0.00      0.10     0.00     4248     0.00     0.00  std::vector<MethodArgument, std::allocator<MethodArgument> >::max_size() const
  0.00      0.10     0.00     4248     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<MethodArgument> >::__maxsize_helper<std::allocator<MethodArgument> const>::value, unsigned int>::type std::allocator_traits<std::allocator<MethodArgument> >::_S_max_size<std::allocator<MethodArgument> const>(std::allocator<MethodArgument> const&)
  0.00      0.10     0.00     4248     0.00     0.00  std::allocator_traits<std::allocator<MethodArgument> >::max_size(std::allocator<MethodArgument> const&)
  0.00      0.10     0.00     4248     0.00     0.00  MethodArgument* std::__make_move_if_noexcept_iterator<MethodArgument*, MethodArgument*>(MethodArgument*)
  0.00      0.10     0.00     4237     0.00     0.00  context_class_exists(TokenContext, Environment&, Class)
  0.00      0.10     0.00     4149     0.00     0.00  _ZSt10_ConstructI8VariableIRS0_EEvPT_DpOT0_
  0.00      0.10     0.00     4149     0.00     0.00  Variable& std::forward<Variable&>(std::remove_reference<Variable&>::type&)
  0.00      0.10     0.00     4142     0.00     0.00  context_class_dereference_ifcan(TokenContext, Class&)
  0.00      0.10     0.00     4133     0.00     0.00  MethodArgument* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<MethodArgument const*, std::vector<MethodArgument, std::allocator<MethodArgument> > >, MethodArgument*>(__gnu_cxx::__normal_iterator<MethodArgument const*, std::vector<MethodArgument, std::allocator<MethodArgument> > >, __gnu_cxx::__normal_iterator<MethodArgument const*, std::vector<MethodArgument, std::allocator<MethodArgument> > >, MethodArgument*)
  0.00      0.10     0.00     4133     0.00     0.00  MethodArgument* std::uninitialized_copy<__gnu_cxx::__normal_iterator<MethodArgument const*, std::vector<MethodArgument, std::allocator<MethodArgument> > >, MethodArgument*>(__gnu_cxx::__normal_iterator<MethodArgument const*, std::vector<MethodArgument, std::allocator<MethodArgument> > >, __gnu_cxx::__normal_iterator<MethodArgument const*, std::vector<MethodArgument, std::allocator<MethodArgument> > >, MethodArgument*)
  0.00      0.10     0.00     4133     0.00     0.00  MethodArgument* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<MethodArgument const*, std::vector<MethodArgument, std::allocator<MethodArgument> > >, MethodArgument*, MethodArgument>(__gnu_cxx::__normal_iterator<MethodArgument const*, std::vector<MethodArgument, std::allocator<MethodArgument> > >, __gnu_cxx::__normal_iterator<MethodArgument const*, std::vector<MethodArgument, std::allocator<MethodArgument> > >, MethodArgument*, std::allocator<MethodArgument>&)
  0.00      0.10     0.00     3731     0.00     0.00  Method::~Method()
  0.00      0.10     0.00     3483     0.00     0.00  std::vector<MethodArgument, std::allocator<MethodArgument> >::operator[](unsigned int)
  0.00      0.10     0.00     3405     0.00     0.00  Method* std::__addressof<Method>(Method&)
  0.00      0.10     0.00     3142     0.00     0.00  Method const& std::forward<Method const&>(std::remove_reference<Method const&>::type&)
  0.00      0.10     0.00     3064     0.00     0.00  __gnu_cxx::__normal_iterator<Token const*, std::vector<Token, std::allocator<Token> > >::base() const
  0.00      0.10     0.00     3022     0.00     0.00  std::allocator<MethodArgument>::allocator(std::allocator<MethodArgument> const&)
  0.00      0.10     0.00     3022     0.00     0.00  std::allocator<MethodArgument>::~allocator()
  0.00      0.10     0.00     3022     0.00     0.00  std::_Vector_base<MethodArgument, std::allocator<MethodArgument> >::_Vector_impl::_Vector_impl(std::allocator<MethodArgument> const&)
  0.00      0.10     0.00     2985     0.00     0.00  LoggingContext::log_enforcer(std::string)
  0.00      0.10     0.00     2980     0.00     0.00  enforce_token(Configuration*, TokenContext, Environment&)
  0.00      0.10     0.00     2953     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<MethodArgument> >::_S_select_on_copy(std::allocator<MethodArgument> const&)
  0.00      0.10     0.00     2953     0.00     0.00  std::allocator<MethodArgument>::allocator(std::allocator<MethodArgument> const&)
  0.00      0.10     0.00     2953     0.00     0.00  std::_Vector_base<MethodArgument, std::allocator<MethodArgument> >::_M_create_storage(unsigned int)
  0.00      0.10     0.00     2953     0.00     0.00  std::_Vector_base<MethodArgument, std::allocator<MethodArgument> >::_Vector_base(unsigned int, std::allocator<MethodArgument> const&)
  0.00      0.10     0.00     2953     0.00     0.00  std::allocator_traits<std::allocator<MethodArgument> >::select_on_container_copy_construction(std::allocator<MethodArgument> const&)
